county,prevalence_pct,ci_lower,ci_upper
Kisii,72.4,63.3,79.8
Nyandarua,72.2,62.1,80.2
Trans Nzoia,69.8,57.9,79.3
Tharaka Nithi,68.0,56.1,77.8
Vihiga,67.6,56.0,77.0
Machakos,66.3,50.8,78.7
Nakuru,65.5,57.1,73.1
Kakamega,65.4,52.8,75.9
Embu,64.3,51.7,74.9
Busia,63.6,52.6,73.3
Murang'a,63.3,49.1,75.3
Makueni,60.4,49.6,70.1
Nandi,59.7,46.9,70.9
Kirinyaga,58.5,46.5,69.4
Meru,58.5,48.7,67.2
Kilifi,56.3,49.4,62.4
Migori,55.6,47.8,63.2
Taita Taveta,55.6,43.4,67.0
Bomet,55.3,45.5,64.4
Kiambu,55.2,42.2,67.2
Nyamira,52.7,39.2,65.4
Siaya,51.6,40.2,62.4
Bungoma,51.1,40.7,61.3
Kisumu,49.8,41.3,58.0
Lamu,48.9,39.7,57.6
Nyeri,48.7,39.0,58.3
Kericho,48.0,40.1,56.2
Uasin Gishu,47.9,36.3,59.4
Laikipia,47.5,35.9,59.0
Mombasa,46.5,34.1,59.2
Kwale,45.8,32.6,59.2
Kitui,45.0,33.8,56.5
Nairobi,42.8,35.4,50.5
Kajiado,41.0,31.3,51.4
Baringo,41.0,27.2,56.0
Homa Bay,40.1,30.8,49.9
Elgeyo Marakwet,38.5,28.5,49.6
Tana River,38.5,28.9,48.6
Isiolo,31.7,24.0,40.3
Turkana,26.8,17.7,38.4
Narok,25.9,17.2,36.6
Samburu,23.9,16.6,33.0
Marsabit,16.2,8.0,30.1
Wajir,14.1,9.0,21.0
Garissa,10.9,6.2,18.0
West Pokot,9.0,5.2,15.1
Mandera,5.9,2.9,11.7
