county,prevalence_pct,ci_lower,ci_upper
Nairobi,99.9,98.6,100.0
Kiambu,99.6,95.5,100.0
Nyeri,99.0,91.6,99.9
Kisumu,98.5,93.9,99.6
Vihiga,97.7,90.2,99.4
Nyandarua,97.6,91.9,99.2
Taita Taveta,97.3,91.6,99.2
Siaya,97.3,90.9,99.2
Embu,97.1,80.0,99.6
Elgeyo Marakwet,96.9,92.1,98.7
Murang'a,96.6,88.3,99.0
Kirinyaga,96.4,85.1,99.1
Makueni,96.0,89.0,98.5
Kericho,95.4,89.8,97.9
Tharaka Nithi,94.8,84.8,98.3
Meru,94.6,85.6,98.0
Lamu,94.3,82.6,98.3
Kakamega,93.9,88.3,96.8
Nakuru,93.8,88.4,96.6
Nyamira,93.6,82.3,97.8
Mombasa,93.5,87.1,96.7
Migori,92.8,88.2,95.5
Kisii,91.7,82.9,96.1
Uasin Gishu,91.6,85.6,95.2
Machakos,91.1,80.0,96.2
Laikipia,91.0,82.2,95.6
Trans Nzoia,89.4,82.0,94.0
Kwale,88.5,80.1,93.5
Homa Bay,87.2,78.1,92.7
Bungoma,86.3,76.5,92.3
Bomet,86.1,79.2,90.8
Isiolo,85.4,75.6,91.6
Busia,85.1,72.3,92.4
Kitui,83.7,70.9,91.4
Baringo,82.9,65.2,92.5
Nandi,82.7,72.9,89.4
Kilifi,81.8,72.2,88.5
Kajiado,81.2,70.6,88.4
Marsabit,73.3,60.9,82.7
Narok,69.2,56.5,79.5
Tana River,63.1,48.8,75.3
Garissa,61.4,46.4,74.3
West Pokot,60.4,48.7,70.8
Samburu,54.1,40.6,66.8
Mandera,51.1,41.3,60.4
Wajir,50.2,35.4,64.9
Turkana,48.2,37.5,59.0
