county,prevalence_pct,ci_lower,ci_upper
Baringo,20.4,17.4,23.7
Bomet,24.4,19.8,29.7
Bungoma,18.2,12.8,25.2
Busia,14.7,9.8,21.6
Elgeyo Marakwet,19.0,14.0,25.4
Embu,21.4,14.1,31.1
Garissa,15.8,11.7,20.8
Homa Bay,11.8,8.0,16.9
Isiolo,12.5,8.3,18.4
Kajiado,15.3,10.4,21.8
Kakamega,9.6,7.1,13.0
Kericho,19.1,14.0,25.4
Kiambu,15.1,10.5,21.2
Kilifi,38.6,31.9,45.7
Kirinyaga,11.4,7.5,16.9
Kisii,16.8,12.6,22.0
Kisumu,9.3,6.1,13.9
Kitui,22.6,16.3,30.4
Kwale,23.3,16.9,31.3
Laikipia,12.4,8.9,17.0
Lamu,16.5,11.7,22.8
Machakos,14.4,9.8,20.6
Makueni,20.4,15.1,26.9
Mandera,23.0,18.0,28.9
Marsabit,20.6,14.1,29.1
Meru,25.3,18.4,33.7
Migori,16.6,12.3,22.2
Mombasa,12.9,8.6,18.8
Murang'a,9.0,5.3,14.6
Nairobi,10.9,7.6,15.4
Nakuru,17.5,13.2,22.8
Nandi,16.1,11.2,22.6
Narok,20.8,15.6,27.1
Nyamira,16.4,10.6,24.6
Nyandarua,19.1,13.2,26.7
Nyeri,11.2,7.1,17.3
Samburu,33.2,27.1,40.0
Siaya,20.4,15.3,26.8
Taita Taveta,15.9,11.6,21.4
Tana River,22.8,18.0,28.5
Tharaka Nithi,21.1,15.6,28.0
Trans Nzoia,19.8,13.8,27.6
Turkana,21.5,15.9,28.2
Uasin Gishu,16.9,12.3,22.7
Vihiga,17.7,12.6,24.4
Wajir,15.0,10.5,20.8
West Pokot,35.0,30.1,40.2
