priority_rank,county,prevalence_pct,ci_lower,ci_upper,gap_vs_national_pct,ci_width_pct,priority
1,Kilifi,38.6,31.9,45.7,21.2,13.8,True
2,West Pokot,35.0,30.1,40.2,17.6,10.1,True
3,Samburu,33.2,27.1,40.0,15.8,12.9,True
4,Meru,25.3,18.4,33.7,7.9,15.3,True
5,Bomet,24.4,19.8,29.7,7.0,9.9,True
6,Kwale,23.3,16.9,31.3,5.9,14.4,False
7,Mandera,23.0,18.0,28.9,5.6,10.9,False
8,Tana River,22.8,18.0,28.5,5.4,10.5,False
9,Kitui,22.6,16.3,30.4,5.2,14.1,False
10,Turkana,21.5,15.9,28.2,4.1,12.3,False
11,Embu,21.4,14.1,31.1,4.0,17.0,False
12,Tharaka Nithi,21.1,15.6,28.0,3.7,12.4,False
13,Narok,20.8,15.6,27.1,3.4,11.5,False
14,Marsabit,20.6,14.1,29.1,3.2,15.0,False
15,Baringo,20.4,17.4,23.7,3.0,6.3,False
15,Makueni,20.4,15.1,26.9,3.0,11.8,False
15,Siaya,20.4,15.3,26.8,3.0,11.5,False
18,Trans Nzoia,19.8,13.8,27.6,2.4,13.8,False
19,Kericho,19.1,14.0,25.4,1.7,11.4,False
19,Nyandarua,19.1,13.2,26.7,1.7,13.5,False
21,Elgeyo Marakwet,19.0,14.0,25.4,1.6,11.4,False
22,Bungoma,18.2,12.8,25.2,0.8,12.4,False
23,Vihiga,17.7,12.6,24.4,0.3,11.8,False
24,Nakuru,17.5,13.2,22.8,0.1,9.6,False
25,Uasin Gishu,16.9,12.3,22.7,-0.5,10.4,False
26,Kisii,16.8,12.6,22.0,-0.6,9.4,False
27,Migori,16.6,12.3,22.2,-0.8,9.9,False
28,Lamu,16.5,11.7,22.8,-0.9,11.1,False
29,Nyamira,16.4,10.6,24.6,-1.0,14.0,False
30,Nandi,16.1,11.2,22.6,-1.3,11.4,False
31,Taita Taveta,15.9,11.6,21.4,-1.5,9.8,False
32,Garissa,15.8,11.7,20.8,-1.6,9.1,False
33,Kajiado,15.3,10.4,21.8,-2.1,11.4,False
34,Kiambu,15.1,10.5,21.2,-2.3,10.7,False
35,Wajir,15.0,10.5,20.8,-2.4,10.3,False
36,Busia,14.7,9.8,21.6,-2.7,11.8,False
37,Machakos,14.4,9.8,20.6,-3.0,10.8,False
38,Mombasa,12.9,8.6,18.8,-4.5,10.2,False
39,Isiolo,12.5,8.3,18.4,-4.9,10.1,False
40,Laikipia,12.4,8.9,17.0,-5.0,8.1,False
41,Homa Bay,11.8,8.0,16.9,-5.6,8.9,False
42,Kirinyaga,11.4,7.5,16.9,-6.0,9.4,False
43,Nyeri,11.2,7.1,17.3,-6.2,10.2,False
44,Nairobi,10.9,7.6,15.4,-6.5,7.8,False
45,Kakamega,9.6,7.1,13.0,-7.8,5.9,False
46,Kisumu,9.3,6.1,13.9,-8.1,7.8,False
47,Murang'a,9.0,5.3,14.6,-8.4,9.3,False
